"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"4nlAljtxQXf","sbag sbag (specific that sangda dorje lost)","ང་ སྔོན་མ་ སྦག་སྦག་ ཅིག་ བརླགས་ མྱོང་པ་ རེད །",365,"སྦག་སྦག་ ཅིག་",2,0,0,3,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE
"WP5NwvTphAv","ma gi (Potala)","_uh_ མ་གི ར",392,"མ་གི ར",1,0,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE
"nPWTZjm2Pd3","po ta la thang chen","འདམ་ཁྲོམ་ ཞེ་པོ་ གཅིག་ ཡོད་ རེད་ པ །",395,"འདམ་ཁྲོམ་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"wK6QJis5Chl","po ta la thang chen","འདི་ གས་ འདི་",398,"འདི་ གས་ འདི་",1,2,0,0,0,0,0,1,FALSE,"i",TRUE,FALSE,"S",FALSE,FALSE,FALSE,3,FALSE
"POgDsjpzoMs","'jag ma gling ka","ཕ་གི ར་",400,"ཕ་གི ར་",2,0,0,2,0,1,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,3,TRUE
"pIAHIQ6NVgK","'jag ma gling ka","འཇག་མ་ གླིང་ཁ ར་",402,"འཇག་མ་ གླིང་ཁ ར་",3,2,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE
"yFzuWAChRPgK1","dgung lo 'grel pa","དགུང་ལོ་ ལོ་ བགྲེས་པ་ སྤྱིར་བཏང་",461,"ང་ རང་ ཚོ་ དགུང་ལོ་ ལོ་ བགྲེས་པ་",1,0,0,1,0,1,0,0,FALSE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,10,FALSE
"7f5c7ZGpOuc","'jag ma gling kha (the name)","ད་ འཇག་མ་ གླིང་ཁ་ འཇག་མ་ གླིང་ཁ་ ད་ག་ རང་ གསུང་ གི་ རེད་པ །",462,"འཇག་མ་ གླིང་ཁ་ འཇག་མ་ གླིང་ཁ་",2,0,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,8,FALSE
"WvWjRAM8Zls","'jag ma gling ka","_H_ ད་ དེང་སང་ ཕ་གི ར་ ཡ་",483,"ཕ་གི ར་ ཡ་",1,1,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE
"meqi8gF8FUe","po ta la thang chen","ད- ཉིན་མ འི་ གོང་ ལ་ ཁྲོམ་ ཡོད་ པས་ མ་ཟད་ དགོང་མོ་",484,"ཁྲོམ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,1,FALSE
"VU3XJCei7jp","las khungs khag gcig","ལས་ཁུངས་ ཁག་ གི་ དེ་པ་ གཅིག་ གི་",503,"ལས་ཁུངས་ ཁག་ གི་",1,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE
"E8HByRulT1q","thugs spro","ཡང་ མིན་ ཐུགས་སྤྲོ་ ཡོད་ ན་",504,"ཐུགས་སྤྲོ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"Q0xXWnFF9a6","zhabs bro gtong sa + a rang 'thung sa etc","དེང་སང་ ཕ་གི ར་ #ད་གིན་ དེ་ ཞིག་ འདུག",529,"ཕ་གི ར་",1,1,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,3,TRUE
"emQASillyGL","yun nan 80","དེང་སང་ ཕ་གི ར་ #ད་གིན་ དེ་ ཞིག་ འདུག",529,"དེ་ ཞིག་",2,0,0,3,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"p5xBgrhrQcm","rgan lags","རྒན་ ལགས་ དེ་པ་ ཕེབས་ མྱོང་ ཡོད་ གས །",532,"རྒན་ ལགས་",1,0,0,1,0,0,0,0,TRUE,"i",FALSE,FALSE,"S",TRUE,FALSE,TRUE,2,FALSE
"u9DvVkzPVMx","yun nan 80","རྒན་ ལགས་ དེ་པ་ ཕེབས་ མྱོང་ ཡོད་ གས །",532,"དེ་པ་",2,2,1,1,1,0,0,1,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE
"KEM1eXNOjn4","dngul bzo","དེ་ _P_ དགོན་སྡེ་ ཁག་ གི་ ཡང་ /",546,"དེ་",1,2,3,0,3,0,0,0,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,1,TRUE
"4JvsDb5WZnuxR","dngul bzo","#གཅིག་ གདུགས་ རྒྱལ་མཚན་ རེད ། འདི་འདྲ་ དང་ གཅིག་ ག་རེ་ རེད །",548,"དགོན་སྡེ་ ཁག་ གི་ ཡང་ / #གཅིག་ གདུགས་ རྒྱལ་མཚན་",2,2,2,0,2,0,1,0,FALSE,"n",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,8,FALSE
"2z8daaSH0GQ","mo Ta btsong sa","#མོ་ཊ་ #འཚོང་ #ས་ #དེ་",580,"#མོ་ཊ་ #འཚོང་ #ས་ #དེ་",1,1,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"EXIST",FALSE,FALSE,FALSE,5,FALSE
"FSRVee2Ax44","se ra'i gsham","_H_ སེ་ར འི་ གཤམ་ ལ་ ཡོད་ རེད །",581,"སེ་ར འི་ གཤམ་ ལ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,FALSE
"zJHuKMwkCsl","'jag ma gling ka","ལྟ་ དེ་བ་ དེ་ ཡང་ འདུག་ ག",588,"དེ་བ་",1,1,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE
"B02UJakcaQD","sger gyi khang pa","ལྟ་ དེ་བ་ དེ་ ཡང་ འདུག་ ག",588,"དེ་ ཡང་",2,0,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,TRUE
