"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"280CA1A8A425","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"འདི་",1,0,0,0,0,0,0,0,TRUE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,1,TRUE
"324844D19047E","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,7,FALSE
"183DC7932D931","slob phrug","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"ཁྱེད་རང་",1,0,1,4,1,0,0,0,TRUE,"i",TRUE,FALSE,"S",TRUE,FALSE,TRUE,2,TRUE
"1373D1F88358","rgya gar","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"གང་ ནས་",2,0,0,1,0,0,0,0,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,2,TRUE
"2DBE5E8F59A6D","slob phrug","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"ང་",1,1,1,3,1,0,1,0,TRUE,"i",TRUE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE
"F20CE11F519F","rgya gar","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"རྒྱ་གར་ ནས་",2,1,0,0,0,0,0,1,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE
"1366768617","slob phrug","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"ང་",1,2,1,2,1,0,2,0,TRUE,"i",TRUE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE
"287C6AAAA209D","mtho slob","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"འདི ར་",2,0,0,2,0,0,0,0,TRUE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE
"2D868B44C8058","slob phrug","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"ང་",1,4,2,0,2,0,3,0,TRUE,"i",TRUE,FALSE,"S",TRUE,TRUE,FALSE,1,TRUE
"208A6ED2AD07F","rgyal rabs","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,6,FALSE
"1F79B357D83D8","mtho slob","བྱས་ ཙང་ འདི ར་ ཡ་",19,"འདི ར་",1,2,0,0,0,0,0,1,TRUE,"i",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE
"185A58E04FEB0","phyag dpe (general)","ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡ་ XX",20,"ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,7,FALSE
"190C8DD569A6F","slob phrug","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ང་",1,0,2,0,2,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE
"3507643836B44","phyag dpe (general)","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ཕྱག་དཔེ་ འདི་གས་ གཅིག་",2,0,1,1,1,0,0,0,TRUE,"i",FALSE,FALSE,"T",FALSE,FALSE,FALSE,5,FALSE
"1CCB2A13BA1D","phyag dpe (general)","ཕལ་ཆེ་བ་ འདི་ ང་རང་ ཚོ་ རྒྱ་གར་ ནས་ འབྱོར་བ་ རེད །",46,"ཕལ་ཆེ་བ་ འདི་",1,2,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE
"8961992833C0","dpe mdzod khang gi las byed pa","ཕལ་ཆེ་བ་ འདི་ ང་རང་ ཚོ་ རྒྱ་གར་ ནས་ འབྱོར་བ་ རེད །",46,"ང་རང་ ཚོ་",2,0,1,2,1,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,3,TRUE
