"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"DjPFLX6DMtD","'gyur ldog (phur sgron)","བྱས་ ན འི་ ང ས་ ཁྱེད་རང་ འགྱུར་ལྡོག་ ཆེན་པོ་ ཨཱ་ཀི་ ཙམ་ འགྲོ་ གི་ རེད་",56,"འགྱུར་ལྡོག་ ཆེན་པོ་",2,0,0,0,0,1,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"nM83Wb4UqjI","mi gang ga","མི་ གང་ག་ འགྱུར་ལྡོག་ ཡོང་ སྲིད་ ཀྱི་ རེད །",58,"མི་ གང་ག་",1,0,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"A",TRUE,FALSE,FALSE,3,FALSE
"4ELDs8SZP3l","'gyur ldog (all humans)","མི་ གང་ག་ འགྱུར་ལྡོག་ ཡོང་ སྲིད་ ཀྱི་ རེད །",58,"འགྱུར་ལྡོག་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"AoyVQhq6gnT","zla sgron","ཁྱེད་རང་ གང་གེ་ གསུང་ མི་ དགོས །",61,"ཁྱེད་རང་",1,2,0,3,0,1,2,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE
"N3Kb5BH3bNI","anything","ཁྱེད་རང་ གང་གེ་ གསུང་ མི་ དགོས །",61,"གང་གེ་",2,0,0,1,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"O0fNExfGQYD","zla sgron","ལྟ་ ང་ གཞན་དག་ གང་ གེ་ ཉན་ འདོད་ ཁོ་ར་ མི་ འདུག",62,"ང་",1,3,0,2,0,1,3,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE
"VeW27ALL115","anything","ལྟ་ ང་ གཞན་དག་ གང་ གེ་ ཉན་ འདོད་ ཁོ་ར་ མི་ འདུག",62,"གཞན་དག་ གང་ གེ་",2,1,0,0,0,0,0,1,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"LKGT3seG5l9","zla sgron","ང ས་ ཁྱེད་ རང་ ལ་ སྐད་ཆ་ གཅིག་ བཤད་ ཡ་ ཡོད །",63,"ང ས་",1,4,0,1,0,1,4,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"WGEvf01STGF","phur sgron","ང ས་ ཁྱེད་ རང་ ལ་ སྐད་ཆ་ གཅིག་ བཤད་ ཡ་ ཡོད །",63,"ཁྱེད་ རང་ ལ་",2,1,0,1,0,1,1,0,TRUE,"i",FALSE,FALSE,"R",TRUE,FALSE,TRUE,3,TRUE
"AXVhNR1E79N","skad cha (zla sgron > phur sgron)","ང ས་ ཁྱེད་ རང་ ལ་ སྐད་ཆ་ གཅིག་ བཤད་ ཡ་ ཡོད །",63,"སྐད་ཆ་ གཅིག་",3,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"T",FALSE,FALSE,FALSE,3,FALSE
