"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"BFWWSX7INsR","ma pin","ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་",25,"མ་པིན་",3,1,0,1,0,0,0,1,FALSE,"n",FALSE,FALSE,"T",FALSE,FALSE,FALSE,2,FALSE
"yCsKg5UR0Ds","bskal bzang phun tshogs","ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །",29,"ང ས་",1,1,0,1,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"VMVdeVhKFXD","'go khrid rtrsar la","ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །",29,"འགོ་ཁྲིད་ རྩར་ ལ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE
"YCxrbZ6r2L8","dngul","<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །",35,"ང འི་ དངུལ་ འདི་ གས་",1,2,1,2,1,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"UoNUWSPGmln","dngul yod sa","<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །",35,"ག་པ ར་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"E",FALSE,FALSE,FALSE,3,TRUE
"cpzWTFuy18T","byung 'dzin","དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །",38,"བྱུང་འཛིན་",1,0,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"S",FALSE,FALSE,FALSE,2,FALSE
"4t8apAMyNQR","nga'i lag par","དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །",38,"ང འི་ ལག་པ ར་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE
"YR6KQUKx9Rt","byung 'dzin","བྱུང་འཛིན་ ག་པ ར་ ཡོད །",42,"བྱུང་འཛིན་",1,1,1,0,1,0,1,0,FALSE,"i",TRUE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"R4ajzubHPkq","byung 'dzin yod sa","བྱུང་འཛིན་ ག་པ ར་ ཡོད །",42,"ག་པ ར་",2,1,0,1,0,0,0,0,FALSE,"n",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,3,TRUE
"JdNLyPaJ72c","bkra shis nor bu","ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །",46,"ང ས་",1,0,2,1,2,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"AtUkeWoYz28","bkra shis nor bu'i nang","ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །",46,"ནང་ ལ་",2,1,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,FALSE
"ew2wkuGfnui","bskal bzang phun tshogs","ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །",48,"ང ས་",1,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"S",TRUE,TRUE,FALSE,2,TRUE
"V5EARPFD8Rc","'go khrid rtrsar la","ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །",48,"འགོ་ཁྲིད་ རྩར་ ལ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,4,FALSE
