"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"vsd64xP4wde","rkun ma (nonreferential, from a cag lags)","ཡང་ ཁོ ས་ ང་ རྐུན་མ་ མིན །",391,"རྐུན་མ་",2,5,0,0,0,0,2,1,FALSE,"i",FALSE,FALSE,"PRED",TRUE,FALSE,FALSE,2,FALSE
"NhonEbDdRjY","pa sangs","ང ས་",395,"ང ས་",1,4,1,2,1,0,2,2,TRUE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"Gr9iyUFlG5S","khyed rang gi co lags","ཁྱེད་ རང་ གི་ ཅོ་ ལགས་ ལ་ རོགས་ བྱས་པ་ ཡིན །",396,"ཁྱེད་ རང་ གི་ ཅོ་ ལགས་ ལ་",2,0,0,2,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",TRUE,FALSE,FALSE,6,FALSE
"dq8avdCDmIS","khyed rang gi co lags","ང འི་ ཅོ་ ལགས་ ལ་ ལྡེ་མིག་ ཡོད ཟེར །",398,"ང འི་ ཅོ་ ལགས་ ལ་",1,1,0,1,0,0,0,1,FALSE,"i",FALSE,FALSE,"COPLOC",TRUE,FALSE,FALSE,5,FALSE
"rQ0SlbLwFF5","lde mig","ང འི་ ཅོ་ ལགས་ ལ་ ལྡེ་མིག་ ཡོད ཟེར །",398,"ལྡེ་མིག་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"UYOV7vICXfp","khyed rang gi co lags","ང འི་ ཅོ་ ལགས་ ལ་ #",406,"ང འི་ ཅོ་ ལགས་ ལ་",1,2,0,1,0,0,1,1,FALSE,"i",FALSE,FALSE,"COPLOC",TRUE,FALSE,FALSE,5,FALSE
"6uqytmAnPFG","lde mig","d- ལྡེ་མིག་ ཡོད་ ཟེར་ གྱིས །",407,"ལྡེ་མིག་",2,1,0,1,0,0,0,1,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE
"Glx6neGmuzn","pa sangs","ང ས་ ཁྱེད་ རང་ གི་ ཅོ་ ལགས་ ལ་ ཡ་",413,"ང ས་",1,2,2,1,2,1,0,0,TRUE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"xsEV6S1SoA4","khyed rang gi co lags","ང ས་ ཁྱེད་ རང་ གི་ ཅོ་ ལགས་ ལ་ ཡ་",413,"ཁྱེད་ རང་ གི་ ཅོ་ ལགས་ ལ་ ཡ་",2,1,1,0,1,0,1,0,FALSE,"i",FALSE,FALSE,"P",TRUE,FALSE,FALSE,7,FALSE
"BoQxEJrKVQ2","pa sangs","ང ས་ སྒོ་ལྕགས་ གཅིག་ བཅག་ རོགས་ བྱས་པ་ ཡིན །",416,"ང ས་",1,2,0,0,0,1,1,0,TRUE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE
"bu30wukFJDW","sgo lcags (house)","ང ས་ སྒོ་ལྕགས་ གཅིག་ བཅག་ རོགས་ བྱས་པ་ ཡིན །",416,"སྒོ་ལྕགས་",2,1,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"365yxSpbdfn","pa sangs kyis rogs pa byas pa","ལྟ་ དེ་འདྲས་ ཁྱེད་ རང་ _uh_",417,"དེ་འདྲས་",1,3,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,2,TRUE
"XEulSGGSbq5","tshong pa a cag","ལྟ་ དེ་འདྲས་ ཁྱེད་ རང་ _uh_",417,"ཁྱེད་ རང་",2,1,0,2,0,1,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,2,TRUE
"Bt9LKxmB47s","pa sangs + a cag lags","#ང་ #ཚོ #ས་ སྤྱི་བདེ་ཅུས་ ལ་ ཡ་",420,"#ང་ #ཚོ #ས་",1,1,0,0,0,6,0,0,TRUE,"i",FALSE,FALSE,"S",TRUE,TRUE,FALSE,3,TRUE
"NvZiWNon7mq","spyi bde las khungs","#ང་ #ཚོ #ས་ སྤྱི་བདེ་ཅུས་ ལ་ ཡ་",420,"སྤྱི་བདེ་ཅུས་ ལ་ ཡ་",2,0,0,2,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE
"oaHu3TtigBSzj","las bzang po byed mkhan (general)","བྱེད་ མཁན་ ལ་ ཡ་",443,"ལས་བཟང་པོ་ བྱེད་ མཁན་ ལ་ ཡ་",1,1,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"A",TRUE,FALSE,FALSE,7,FALSE
"UMZ8jmOzlyD","'jug 'bras ngan pa","འཇུག་འབྲས་ ངན་པ་ ཐོབ་ ཀྱི་ འདུག་ ག་ ཟེར་",445,"འཇུག་འབྲས་ ངན་པ་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"tFByT6nBIFM","'khrab gzhung","འཁྲབ་གཞུང་ འདི ར་ ཡ་",467,"འཁྲབ་གཞུང་ འདི ར་ ཡ་",1,0,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE
"9g9cZ8EqWqY","lhan rgyas","ཁྱེད་ རྣམ་ ཚོ ས་",469,"ཁྱེད་ རྣམ་ ཚོ ས་",2,0,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"COPLOC",TRUE,FALSE,TRUE,4,TRUE
"tM4QBDaZ4T2","dgongs 'char","དགོངས་འཆར་ འདྲ་ གང་ འདུག་ འདི་ _uh_",470,"དགོངས་འཆར་ འདྲ་ གང་",3,0,0,0,0,0,0,0,FALSE,"n",FALSE,TRUE,"EXIST",FALSE,FALSE,FALSE,4,FALSE
"OLfyGeEVb8M","nga","_H_ ང་ར འི་ མཐོང་ཕྱོགས་ འདི་ འདི་ བྱུང་ །",499,"ང་ར འི་",1,1,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,3,TRUE
"lo2Xu4iSQ1E","nga'i mthong phyogs","_H_ ང་ར འི་ མཐོང་ཕྱོགས་ འདི་ འདི་ བྱུང་ །",499,"མཐོང་ཕྱོགས་ འདི་ འདི་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"LbJOrn6yUiZ","pa sangs","གཙོ- གཙོ་བོ་ མི་ གཅིག་ གི་ #ད་",503,"མི་ གཅིག་ གི་",1,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"A",TRUE,FALSE,FALSE,3,FALSE
"F22u4OCCsvu","bsam po bzang po","བསམ་པ་ བཟང་པོ་ བྱས །",504,"བསམ་པ་ བཟང་པོ་",2,0,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"GscU7eQ3mt4","lhan rgyas (audience)","གཟིགས་མོ་ གཟིགས་ མཁན་ ལ་ ཡ་",513,"གཟིགས་མོ་ གཟིགས་ མཁན་ ལ་ ཡ་",1,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"A",TRUE,FALSE,FALSE,6,FALSE
"Zx94pqbYBnt","slob gso","སློབ་གསོ་ ཐེབས་ ཡ་ གི་",515,"སློབ་གསོ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE
"ww9VqiSjQIU","pa sangs","ཁོ འི་",522,"ཁོ འི་",1,0,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"A",TRUE,FALSE,FALSE,2,TRUE
"ZFgLuiq4WY1B2","'bras bu bzang po","འབྲས་བུ་ བཟང་པོ་ ཐོབ་པ འི་ ངེས་པ་ གང་ མི་ འདུག",526,"འབྲས་བུ་ འདི འི་ ཡང་ འབྲས་བུ་ བཟང་པོ་",2,1,0,1,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE
"cLT61KhK9zB","pa sangs","ཁོ་ མི་ བཟང་པོ འི་ ལས་ཀ་ by-",528,"ཁོ་",1,1,0,0,0,0,1,0,FALSE,"i",TRUE,FALSE,"A",TRUE,FALSE,FALSE,1,TRUE
"PYnoHSIfQU921","las ka yag po (by pa sangs)","ཡག་པོ་ རྐྱང་རྐྱང་ བྱས་ པ་ རེད །",529,"མི་ བཟང་པོ འི་ ལས་ཀ་ by- ཡག་པོ་",2,1,0,1,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,9,FALSE
