id,order,argTypeNewE,argTypeNewEXIST,argTypeNewP,argTypeNewPRED,argTypeNewR,noPrevMentions,noPrevZero,noNextMentions,noNextZero,haveBridges,identifiable,local,justFirst,justLast,interrog,animate,self,addressee,length,pronom,noPrevMentionsFar,noNextMentionsFar,logworth,worth,denom,p_arg,p_clause,predOrder
1D1FCA66AC663,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1.0986122886681098,1,0,0,1.700122813271574,5.4746197063985385,5.536868711256421,0.9887573630324066,0.9887573630324066,1
1D1FCA66AC663,2,1,0,0,0,0,0,0,0.6931471805599453,0,0,0,0,0,0,1,0,0,0,1.3862943611198906,1,0,0,-2.7766127299838494,0.06224900485788291,0.06224900485788291,1,0.9887573630324066,2
2CAE95E65FE80,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.6094379124341003,0,0,0,1.6992143340646306,5.4696483867415395,6.928358327495721,0.7894580690255036,0.7894580690255036,1
2CAE95E65FE80,2,0,1,0,0,0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1,1,1,0,0,0,1,0,1,1.3862943611198906,1,0.6931471805599453,0,0.37755244289052614,1.458709940754181,1.458709940754181,1,0.7894580690255036,2
13gB3JYkmPX,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,1,0,0,0,0,1,0,0,2.0794415416798357,0,0,0.6931471805599453,0.4247146513745979,1.529154015406338,1.5824303960695392,0.9663325598424236,0.9663325598424236,1
13gB3JYkmPX,2,0,0,1,0,0,0,0,0.6931471805599453,0,0,0,0,0,0,1,0,0,0,1.0986122886681098,1,0,0,-2.932262185552859,0.05327638066320109,0.05327638066320109,1,0.9663325598424236,2
9WVQTzvSqAL,1,0,0,0,0,0,0.6931471805599453,0,1.0986122886681098,0,0,1,0,0.6931471805599453,0,0,1,0,0,1.791759469228055,0,0,0,1.2699957622735618,3.560837472468448,4.2912775080021355,0.8297849453521466,0.8297849453521466,1
9WVQTzvSqAL,2,0,0,1,0,0,1.3862943611198906,0,1.0986122886681098,0,0,1,1,0,0,0,1,0,1,1.3862943611198906,1,0,1.3862943611198906,-0.3141081380413429,0.7304400355336869,0.7304400355336869,1,0.8297849453521466,2
aYcHw93TT0U,1,0,0,0,0,0,1.0986122886681098,0,0.6931471805599453,0,0,1,1,1.0986122886681098,0,0,1,1,0,0.6931471805599453,1,0,0,1.9204340213187945,6.8239195532213275,8.55974288036749,0.797210809786422,0.7029369808532856,1
aYcHw93TT0U,2,0,0,0,0,1,1.3862943611198906,0,0,0,0,1,1,0,0.6931471805599453,0,1,0,1,1.3862943611198906,1,1.0986122886681098,1.3862943611198906,0.42562993766851115,1.530554269837011,1.7358233271461638,0.8817454206894246,0.7029369808532856,2
aYcHw93TT0U,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0,0,0,-1.5834336857069478,0.20526905730915296,0.20526905730915296,1,0.7029369808532856,3
UAFVBIG2UTW,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.9459101490553132,0,0,0,0.8465389152829454,2.33156313325071,2.810062669528948,0.8297192651726699,0.8297192651726699,1
kvvlfYdqCRx,1,0,0,0,0,0,1.0986122886681098,0.6931471805599453,0,0.6931471805599453,0,1,1,1.0986122886681098,0,0,1,1,0,0.6931471805599453,1,0.6931471805599453,0,2.2058599765613036,9.078055126567754,9.505999162260737,0.9549816880489596,0.9549816880489596,1
UAFVBIG2UTW,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.302585092994046,0,0,0,-0.7371000372050875,0.4784995362782381,0.4784995362782381,1,0.8297192651726699,2
kvvlfYdqCRx,2,1,0,0,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.3862943611198906,0,0,0,-0.848762849676551,0.42794403569298356,0.42794403569298356,1,0.9549816880489596,2
iI4ueCoH4l1,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,1,1,0,0,0,1,0,1,1.3862943611198906,1,1.9459101490553132,0,0.47720531715327313,1.6115642918814372,1.9252456618127616,0.8370694316298471,0.8370694316298471,1
iI4ueCoH4l1,2,0,0,1,0,0,0,0,1.0986122886681098,0,0,1,1,0,0,0,1,1,0,0.6931471805599453,1,0,1.3862943611198906,-1.1593775537182442,0.3136813699313243,0.3136813699313243,1,0.8370694316298471,2
n0lnrsX8Dlz,1,0,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,1,0,0.6931471805599453,0,1,0,1,1.0986122886681098,1,0,1.3862943611198906,1.1205645954586732,3.066585094638394,3.9670698380062293,0.7730101107016555,0.7730101107016555,1
n0lnrsX8Dlz,2,0,0,1,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,1,0.6931471805599453,0,0,1,1,0,1.0986122886681098,1,1.9459101490553132,0,-0.10482205691072131,0.9004847433678356,0.9004847433678356,1,0.7730101107016555,2
XfgXWmjBvmh,1,0,0,0,0,0,1.0986122886681098,0,1.3862943611198906,0,0,1,1,0.6931471805599453,0.6931471805599453,0,1,0,1,1.0986122886681098,1,0,0,1.5239953315703598,4.5905292919304665,5.0688797356514685,0.9056299481014373,0.9056299481014373,1
XfgXWmjBvmh,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,0,0,-0.7374116692509859,0.4783504437210022,0.4783504437210022,1,0.9056299481014373,2
1VeXs57tr3E,1,0,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,1,0.6931471805599453,0,0,1,1,0,1.0986122886681098,1,1.0986122886681098,0,1.455994617697301,4.2887470086269905,5.697140445193588,0.75278941249293,0.19576668561963467,1
1VeXs57tr3E,2,0,0,1,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.0044123052455602,0.36625982054135153,1.4083934365665973,0.2600550464323557,0.19576668561963467,3
1VeXs57tr3E,3,0,0,0,0,1,0.6931471805599453,0,0.6931471805599453,0,0,1,1,0.6931471805599453,0,0,1,0,1,1.3862943611198906,1,1.0986122886681098,0,0.04127016546089053,1.042133616025246,1.042133616025246,1,0.19576668561963467,2
3D22C441A817,1,0,0,0,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,0.6931471805599453,1,0,1.0986122886681098,0.5791968825283071,1.784604607922373,1.7931946383564616,0.9952096497221508,0.9952096497221508,1
3D22C441A817,2,0,0,0,1,0,0,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0,0,1.0986122886681098,-4.7571530000250055,0.008590030434088625,0.008590030434088625,1,0.9952096497221508,2
1FEFCCA2A7ED3,1,0,0,0,0,0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,0.6931471805599453,2.6390573296152584,1.0216307784935619,2.7777209199196387,3.712143956049556,0.7482794182571719,0.7482794182571719,1
1FEFCCA2A7ED3,2,0,0,1,0,0,1.0986122886681098,0,0,0,0,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,0.6931471805599453,-0.06782601381960136,0.9344230361299174,0.9344230361299174,1,0.7482794182571719,2
7C69251F1E79,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.6094379124341003,0,0,0.6931471805599453,0.11535779002024456,1.1222749045080278,2.944460550650759,0.38114788267752214,0.38114788267752214,2
7C69251F1E79,2,0,0,0,0,0,0.6931471805599453,2.0794415416798357,1.791759469228055,2.0794415416798357,0,1,1,0,0,0,1,1,0,1.6094379124341003,0,0.6931471805599453,2.4849066497880004,0.6000366850537381,1.822185646142731,1.822185646142731,1,0.38114788267752214,1
OK6zlhNrj1TfY,1,0,0,0,0,0,0.6931471805599453,1.9459101490553132,1.791759469228055,1.9459101490553132,0,1,1,0,0.6931471805599453,0,1,0,1,1.0986122886681098,1,1.0986122886681098,2.1972245773362196,0.7279224690262799,2.070774038503113,2.1171740652880127,0.9780839811210384,0.4889053061845981,1
OK6zlhNrj1TfY,2,0,0,0,1,0,0.6931471805599453,1.9459101490553132,1.791759469228055,1.9459101490553132,0,1,0,0,0.6931471805599453,0,1,0,0,0.6931471805599453,0,1.0986122886681098,2.1972245773362196,-3.7638819562659642,0.023193529124405286,0.046400026784899975,0.4998602529245347,0.4889053061845981,3
OK6zlhNrj1TfY,3,0,0,0,1,0,0.6931471805599453,1.9459101490553132,1.791759469228055,1.9459101490553132,0,1,0,0,0.6931471805599453,0,1,0,0,1.6094379124341003,0,1.0986122886681098,2.1972245773362196,-3.7633229679495472,0.023206497660494693,0.023206497660494693,1,0.4889053061845981,2
2465AE32A5B4C,1,0,0,0,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,2.5649493574615367,0,0,0,0.5803387859778727,1.786643618035048,1.8066502798151383,0.9889261015241215,0.9889261015241215,1
2465AE32A5B4C,2,0,0,0,1,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,0,0,-3.911689971885461,0.02000666178009024,0.02000666178009024,1,0.9889261015241215,2
189D83CC6DBAA,1,0,0,0,0,0,0.6931471805599453,1.6094379124341003,0,1.6094379124341003,0,1,0,0.6931471805599453,0,0,0,0,0,2.0794415416798357,0,0,0,1.6920769898262036,5.430748609029245,5.475590976086955,0.9918104973045748,0.9918104973045748,1
189D83CC6DBAA,2,0,0,0,1,0,0.6931471805599453,1.6094379124341003,0,1.6094379124341003,0,1,0,0,0.6931471805599453,0,0,0,0,1.791759469228055,0,0,0,-3.104601893194899,0.0448423670577093,0.0448423670577093,1,0.9918104973045748,2
1B9A88BD4E4A4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3862943611198906,0,1.3862943611198906,0,0.8838938736936282,2.4203057464431863,2.682013640553347,0.9024211174197587,0.9024211174197587,1
1B9A88BD4E4A4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.9024211174197587,2
125EEA4A9AA5D,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453,1,0,0,0.8457746601854432,2.3297819049840656,2.3559100441182057,0.9889095344708208,0.9889095344708208,1
125EEA4A9AA5D,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3978952727983707,0,0,0,-3.644742417670982,0.026128139134140266,0.026128139134140266,1,0.9889095344708208,2
2F0F05BC5CE1A,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.6931471805599453,1,0,0,0.11479880170382746,1.1216477412533963,4.88790000825784,0.2294743630922142,0.2294743630922142,2
2F0F05BC5CE1A,2,0,0,0,0,0,0.6931471805599453,0.6931471805599453,0,0.6931471805599453,0,1,1,0,0,0,1,0,1,1.3862943611198906,1,2.0794415416798357,2.1972245773362196,1.3260804133883644,3.7662522670044436,3.7662522670044436,1,0.2294743630922142,1
18DA4F8B42597,1,1,0,0,0,0,0.6931471805599453,0,0,0,1,1,1,0,0,0,0,0,0,2.4849066497880004,0,0,1.0986122886681098,0.6940941346342545,2.0018948051537557,3.5301341090359797,0.567087465609186,0.567087465609186,1
18DA4F8B42597,2,0,0,0,0,0,0,0,1.0986122886681098,0,0,1,0,0,0,0,1,0,0,1.0986122886681098,0,0,1.3862943611198906,0.42411629097023995,1.5282393038822242,1.5282393038822242,1,0.567087465609186,2
101364B8E1494,1,1,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.6094379124341003,0,1.0986122886681098,0,-0.3960247585348806,0.6729900334839,3.1834911097686516,0.21140000404549802,0.21140000404549802,2
101364B8E1494,2,0,0,0,0,0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,2.70805020110221,0.6931471805599453,0.9204823652058359,2.5105010762847515,2.5105010762847515,1,0.21140000404549802,1
2D2A00720DC77,1,1,0,0,0,0,0.6931471805599453,0,0,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,1.0986122886681098,0,-0.12933575458620455,0.878678895543822,5.105636832506482,0.17209976431332993,0.17209976431332993,2
2D2A00720DC77,2,0,0,0,0,0,1.0986122886681098,0,0.6931471805599453,0,0,1,1,0,0.6931471805599453,0,1,0,1,1.0986122886681098,1,2.70805020110221,0.6931471805599453,1.4414825704972085,4.22695793696266,4.22695793696266,1,0.17209976431332993,1
118A2C26C953C,1,0,0,0,0,0,0.6931471805599453,0,1.9459101490553132,0,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,2.302585092994046,0,0.5835942330066637,1.792469419341544,1.8620211548246612,0.9626471829802242,0.9626471829802242,1
118A2C26C953C,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0986122886681098,1,0,0,-2.6656844078957227,0.06955173548311716,0.06955173548311716,1,0.9626471829802242,2
8DzQmH58Nz0,1,0,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,1,0,0,0,1,1,0,1.0986122886681098,1,0,2.6390573296152584,1.0033926565346094,2.7275196866465143,3.205667898654868,0.8508428735836955,0.8508428735836955,1
8DzQmH58Nz0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0986122886681098,0,0,0,-0.7378345275884243,0.4781482120083537,0.4781482120083537,1,0.8508428735836955,2
w497vnEPqSv,1,0,0,0,0,0,1.0986122886681098,0,0.6931471805599453,0,0,1,1,0.6931471805599453,0,0,1,1,0,1.0986122886681098,1,0,2.5649493574615367,1.6734011703034324,5.330266144874405,5.464901502214224,0.9753636259893671,0.9753636259893671,1
w497vnEPqSv,2,0,0,1,0,0,0,0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,1.9459101490553132,0,0,0,-2.0051852117215883,0.13463535733981968,0.13463535733981968,1,0.9753636259893671,2
PNnL9pxcKZi,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1.3862943611198906,1,0,1.0986122886681098,1.7002983153384936,5.475580597789357,5.903630501215984,0.9274937848263943,0.9274937848263943,1
PNnL9pxcKZi,2,1,0,0,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,0,0.6931471805599453,-0.8485154934060323,0.4280499034266274,0.4280499034266274,1,0.9274937848263943,2
nIbKPuJRPsf,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1.0986122886681098,1,0.6931471805599453,1.9459101490553132,1.7183609352305265,5.575382557830222,6.742077773111234,0.8269531656941088,0.8269531656941088,1
nIbKPuJRPsf,2,0,0,1,0,0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1,1,1,0,0,0,1,1,0,1.0986122886681098,1,1.3862943611198906,2.302585092994046,0.15417514976873348,1.166695215281011,1.166695215281011,1,0.8269531656941088,2
fkNLa7WdwEG,1,0,0,1,0,0,0.6931471805599453,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.4270358006106232,0.24001933398579986,0.32128473276228287,0.7470611252586007,0.7470611252586007,1
fkNLa7WdwEG,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3862943611198906,1,0,0,-2.5100349523267136,0.08126539877648302,0.08126539877648302,1,0.7470611252586007,2
qeADLK8lBic,1,0,0,0,0,0,1.3862943611198906,1.791759469228055,0.6931471805599453,1.791759469228055,0,1,1,0,0,0,1,1,0,0.6931471805599453,1,1.791759469228055,1.9459101490553132,1.4745954390121554,4.369267780034147,4.405786006515927,0.9917113027215186,0.9917113027215186,1
qeADLK8lBic,2,1,0,0,0,0,0,0,2.0794415416798357,0,0,0,0,0,0,1,0,0,0,1.0986122886681098,1,0,0,-3.3099437873650412,0.0365182264817798,0.0365182264817798,1,0.9917113027215186,2
nXbIHrsYRl0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0986122886681098,0,1.0986122886681098,0,-0.5524869194065848,0.5755167653727337,1.0477017128156787,0.5493135673378285,0.5493135673378285,1
nXbIHrsYRl0,2,1,0,0,0,0,1.6094379124341003,0,1.0986122886681098,0,0,0,0,0,0.6931471805599453,0,0,0,0,1.9459101490553132,0,0,0,-0.750384532342116,0.472184947442945,0.472184947442945,1,0.5493135673378285,2
5izPJV65GoX,1,0,0,0,0,0,0.6931471805599453,1.6094379124341003,0,1.6094379124341003,0,1,1,0,0,0,1,1,0,0.6931471805599453,1,2.302585092994046,1.791759469228055,1.3323353685795045,3.78988383632904,6.352017201678264,0.596642565030793,0.596642565030793,1
5izPJV65GoX,2,1,0,0,0,0,1.0986122886681098,0,0,0,1,1,0,0,0,0,0,0,0,1.6094379124341003,0,0,0,0.9408402572911572,2.5621333653492244,2.5621333653492244,1,0.596642565030793,2
luzzLo1Kdet,1,0,0,0,0,0,1.0986122886681098,0,1.0986122886681098,0,0,1,1,0,0,0,1,1,0,1.3862943611198906,1,1.0986122886681098,0.6931471805599453,1.124784017112153,3.079551646626549,3.284935479016436,0.9374770574028498,0.9374770574028498,1
luzzLo1Kdet,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0,0,0,-1.5828746973905308,0.20538383238988664,0.20538383238988664,1,0.9374770574028498,2
vucq1fhy26h,1,0,0,0,0,0,1.0986122886681098,0,0,0,0,1,1,0.6931471805599453,0,0,1,1,0,1.0986122886681098,1,1.6094379124341003,0.6931471805599453,1.9837430610334728,7.269903814814376,7.531611708924537,0.9652520729659959,0.9652520729659959,1
vucq1fhy26h,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.9652520729659959,2
HZYxGFrJDhs,1,0,0,0,0,0,0,0,1.3862943611198906,0,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,2.4849066497880004,0.6931471805599453,0.381046526618607,1.4638157102206333,1.6643455030155367,0.8795143241402855,0.8795143241402855,1
HZYxGFrJDhs,2,0,1,0,0,0,0,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0,0,0,-1.6067924507809996,0.20052979279490354,0.20052979279490354,1,0.8795143241402855,2
5eGeoHwqrLN,1,0,0,0,0,0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0,1,1,0.6931471805599453,0,0,1,1,0,1.0986122886681098,1,2.4849066497880004,0.6931471805599453,1.3377529694130408,3.810471632034352,4.259933449970623,0.8944908827297829,0.8944908827297829,1
5eGeoHwqrLN,2,0,1,0,0,0,0.6931471805599453,0.6931471805599453,0,0.6931471805599453,0,0,0,0,0.6931471805599453,0,0,0,0,1.6094379124341003,0,0,0,-0.799704372090437,0.4494618179362705,0.4494618179362705,1,0.8944908827297829,2
PP20oj962q9,1,0,0,0,0,0,1.3862943611198906,0.6931471805599453,0,0.6931471805599453,0,1,1,1.0986122886681098,0,0,1,0,1,0.6931471805599453,1,2.4849066497880004,0.6931471805599453,2.429419852397067,11.35229416295766,11.421867576367994,0.9939087532800431,0.9939087532800431,1
PP20oj962q9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6094379124341003,1,0,0,-2.6653727758498245,0.0695734134103345,0.0695734134103345,1,0.9939087532800431,2
54B2DB338FF0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.3862943611198906,0,0,0,0.8468075741493023,2.3321896125097643,2.5376323427121994,0.9190415700712343,0.9190415700712343,1
54B2DB338FF0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0794415416798357,0,0,0,-1.5825879690320712,0.20544273020243498,0.20544273020243498,1,0.9190415700712343,2
D9F13CB1CD8E,1,0,0,0,0,0,0.6931471805599453,0,0,0,0,1,0,0,0,0,1,0,0,1.0986122886681098,1,0,0,1.2693603785653247,3.5585756929757744,3.820283587085935,0.9314951657005683,0.9314951657005683,1
D9F13CB1CD8E,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.9314951657005683,2
12BAC0A957315,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.9459101490553132,0,0,0,1.7006397120985575,5.477450262395471,5.843604414685788,0.9373410439334119,0.9373410439334119,1
12BAC0A957315,2,1,0,0,0,0,0,0,1.0986122886681098,0,0,1,0,0,0,0,0,0,0,1.3862943611198906,0,0,0,-1.0047008531315575,0.36615415229031695,0.36615415229031695,1,0.9373410439334119,2
292193A83CFBA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,0.8460220164559619,2.330358262427079,2.59211209084425,0.8990190936025773,0.8990190936025773,1
292193A83CFBA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,0,0,0,-1.3403508031028422,0.26175382841717115,0.26175382841717115,1,0.8990190936025773,2
20A4F989FE225,1,0,0,0,0,0,0,1.0986122886681098,1.3862943611198906,1.0986122886681098,1,1,0,0,0,0,1,0,0,0.6931471805599453,1,0,1.3862943611198906,1.1661098460603623,3.209482939276239,3.6877150746482403,0.8703174931654343,0.8703174931654343,1
20A4F989FE225,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3862943611198906,0,0,0,-0.7376590255215046,0.4782321353720016,0.4782321353720016,1,0.8703174931654343,2
35AE3D7A3718C,1,0,0,0,0,0,0.6931471805599453,0.6931471805599453,0,0.6931471805599453,0,1,1,0,0,0,1,1,0,1.3862943611198906,1,0,1.9459101490553132,1.2701459362586651,3.561372257776409,3.7667560901662958,0.9454746133082327,0.9454746133082327,1
35AE3D7A3718C,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,1,0,0,-1.5828746973905308,0.20538383238988664,0.20538383238988664,1,0.9454746133082327,2
3639057F75FA,1,0,0,0,0,0,0,1.0986122886681098,0,1.0986122886681098,0,1,1,0,0,0,1,1,0,0.6931471805599453,1,1.0986122886681098,1.791759469228055,0.8768684261180346,2.403361605085539,3.256259560584908,0.7380743335625964,0.7380743335625964,1
3639057F75FA,2,1,0,0,0,0,0.6931471805599453,0,0,0,0,1,0,0,0,0,0,0,0,1.9459101490553132,0,0,0,-0.15911536877640908,0.852897955499369,0.852897955499369,1,0.7380743335625964,2
