id,g,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom
387486544190D,zla sgron,མོ་རང་ ལ་ དཀའ་ངལ་ ཡོད་ དུས་,58,མོ་རང་ ལ་,260,261,FALSE,i,TRUE,FALSE,COPLOC,TRUE,FALSE,FALSE,3,TRUE
22BFAA2D5B21C,dka' ngal (zla sgron),མོ་རང་ ལ་ དཀའ་ངལ་ ཡོད་ དུས་,58,དཀའ་ངལ་,262,262,FALSE,n,TRUE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE
2FD4D233A9BBB,phur sgron,རང་ གིས་ ཕར་ རོགས་ བྱས །,59,རང་ གིས་,265,266,TRUE,i,FALSE,FALSE,S,TRUE,FALSE,TRUE,2,TRUE
2F3CF02160FD2,zla sgron,རང་ གིས་ ཕར་ རོགས་ བྱས །,59,ཕར་,267,267,FALSE,i,FALSE,FALSE,E,TRUE,FALSE,FALSE,1,TRUE
1775FC468EE0D,phur sgron,རང་ ལ་ དཀའ་ངལ་ ཡོད་ དུས་,63,རང་ ལ་,279,280,TRUE,i,TRUE,FALSE,COPLOC,TRUE,FALSE,TRUE,2,TRUE
1F352F0173E23,dka' ngal (phur sgron),རང་ ལ་ དཀའ་ངལ་ ཡོད་ དུས་,63,དཀའ་ངལ་,281,281,FALSE,n,TRUE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE
4DFC5512C86,zla sgron,ཟླ་སྒྲོན་ གྱིས་ ཚུར་ རོགས་ བྱས །,65,ཟླ་སྒྲོན་ གྱིས་,285,286,FALSE,i,FALSE,FALSE,S,TRUE,FALSE,FALSE,3,FALSE
1995B1852CCD1,phur sgron,ཟླ་སྒྲོན་ གྱིས་ ཚུར་ རོགས་ བྱས །,65,ཚུར་,287,287,FALSE,i,FALSE,FALSE,E,TRUE,FALSE,FALSE,1,FALSE
353A2CFA2C306,zla sgron dang phur sgron,དུས་རྒྱུན་ དུ་ ཁྱེད་ རང་ ཚོ་,72,ཁྱེད་ རང་ ཚོ་,314,316,FALSE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,5,TRUE
32A4C61488BE4,sems nang gi skad cha,སེམས་ ནང་ གི་ ཕར་ཚུར་ སྐད་ཆ་ དེ་ བཤད །,73,སེམས་ ནང་ གི་ ཕར་ཚུར་ སྐད་ཆ་ དེ་,317,322,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,8,FALSE
2310286914A8E,phur sgron,ང་ ཉི་མ་ ཁ་ཤས་ རྗེས་ ནས་ ཕར་ ཁོང་ ཚོ འི་ ནང་ ལ་ འགྲོ་ དགོས་ བསམ་ ནས་ བསྡད་ ཡོད །,91,ང་,403,403,TRUE,i,FALSE,FALSE,S,TRUE,TRUE,FALSE,1,TRUE
23C929A90F465,zla sgron dang nang mi'i nang,ང་ ཉི་མ་ ཁ་ཤས་ རྗེས་ ནས་ ཕར་ ཁོང་ ཚོ འི་ ནང་ ལ་ འགྲོ་ དགོས་ བསམ་ ནས་ བསྡད་ ཡོད །,91,ཁོང་ ཚོ འི་ ནང་ ལ་,409,413,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,5,FALSE
1AA5FB2ED39D6,pa lags kyi deb,ང འི་ དེབ་ གཅིག་ སྦུག་ ཏུ་ ཡོད་ <0> བསམ་ བྱུང་ །,99,ང འི་ དེབ་ གཅིག་,444,447,FALSE,n,TRUE,FALSE,EXIST,FALSE,FALSE,FALSE,4,FALSE
182D2EC61DF3,sbug la,ང འི་ དེབ་ གཅིག་ སྦུག་ ཏུ་ ཡོད་ <0> བསམ་ བྱུང་ །,99,སྦུག་ ཏུ་,448,449,FALSE,i,FALSE,FALSE,COPLOC,FALSE,FALSE,FALSE,2,FALSE
