"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges","remarks"
"3E4jUKtV7qQ","lha sa","ང་ ལྷ་ས ར་ དེ་དུས་ བསྡད་པ་ རེད །",142,"ལྷ་ས ར་",701,702,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"jNjYRRbj6b1","'jag ma gling ka","_H_ འཇག་མ་ གླིང་ཁ དེ ར་ ཡ་",169,"འཇག་མ་ གླིང་ཁ དེ ར་ ཡ་",830,834,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,7,FALSE,TRUE,NA
"dHqDYkiQTYs","bdag po rgyag mkhan","བདག་པོ་ རྒྱག་ མཁན་ དམིགས་བསལ་ གལ་ ཡོད་ ཀྱི་ མ་ རེད་པ །",170,"བདག་པོ་ རྒྱག་ མཁན་",835,837,FALSE,"n",FALSE,FALSE,"EXIST",TRUE,FALSE,FALSE,4,FALSE,FALSE,NA
"ALbCYh6HHVx","zhol 'bag","ཞོལ་འབག་ ལྷ་མོ་ གིས་ ## ཕ་གི ར་",175,"ཞོལ་འབག་ ལྷ་མོ་ གིས་",867,869,FALSE,"i",TRUE,FALSE,"A",FALSE,FALSE,FALSE,4,FALSE,FALSE,NA
"EDLyZrEIc00","gling kha btang sa","འདི་ བྱེད་ ས་ #ར་ #གཅིག་ བཟོས །",176,"འདི་ བྱེད་ ས་",873,875,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"KrezyTAkhbo3Y","zhol 'bag","ཁང་པ་ ར་ ཅིག་ རྒྱག་ མཁན་",179,"དང་པོ་ ཕ་གི ར་ #སྒང་ ཁང་པ་ ར་ ཅིག་ རྒྱག་ མཁན་",881,889,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,12,FALSE,FALSE,NA
"kSJS2bboFoO","zhol 'bag","ཞོལ་འབག་ ཡིན་པ་ ཡོད །",180,"ཞོལ་འབག་",890,890,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"gcCIomk2HnI","zhol 'bag","ལྟ་ ཁོང་ རྣམ་པ ས་ དང་པོ་ ཏོག་ཙམ་ བརྒྱབ །",182,"ཁོང་ རྣམ་པ ས་",897,899,FALSE,"i",TRUE,FALSE,"A",FALSE,FALSE,FALSE,4,TRUE,FALSE,NA
"5aXUHftUoQy","gling kha btang sa","ལྟ་ ཁོང་ རྣམ་པ ས་ དང་པོ་ ཏོག་ཙམ་ བརྒྱབ །",182,"ཏོག་ཙམ་",901,901,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"q5IdvdD500w","slob grwa thon mkhan","འོ་ ཁོང་ ཚོ་",242,"ཁོང་ ཚོ་",1128,1129,FALSE,"i",TRUE,FALSE,"S",TRUE,FALSE,FALSE,2,TRUE,FALSE,NA
