id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges,
3yqjY6F20XV,thing in front,གང་ག་ ཆ་ རེད ལགས །,75,གང་ག་,344,344,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,FALSE,FALSE,
MM4CU5WEEYE,cha,གང་ག་ ཆ་ རེད ལགས །,75,ཆ་,345,345,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,1,FALSE,FALSE,
7b73Jm3p4fz,amount of thing in front,འདི ར་,84,འདི ར་,376,377,TRUE,i,TRUE,FALSE,COPLOC,FALSE,FALSE,FALSE,2,TRUE,FALSE,
wLhqylfhusG,1.2 rgyama,རྒྱ་མ་ གང་ དང་ སྲང་ དོ <0> །,85,རྒྱ་མ་ གང་ དང་ སྲང་ དོ,378,382,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,5,FALSE,FALSE,
othIkiynhOB,.2 rgyama,ལྟ་ <0> སྲང་ དོ་ དེ་ མོའི་རྩེ་ ༥ ལ་ བརྩིས་ གནང་ འ་ཛི །,87,སྲང་ དོ་ དེ་,396,398,FALSE,i,TRUE,FALSE,P,FALSE,FALSE,FALSE,3,FALSE,FALSE,"could be seen as local, but decided against based on it being abstract"
6PEQToZvvpl,50 cents,ལྟ་ <0> སྲང་ དོ་ དེ་ མོའི་རྩེ་ ༥ ལ་ བརྩིས་ གནང་ འ་ཛི །,87,མོའི་རྩེ་ ༥ ལ་,399,401,FALSE,n,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE,FALSE,
6I1fKCm1Oq4,phyu ra,འདི ར་ ག་ཚོད་ རེད །,104,འདི ར་,477,478,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,TRUE,FALSE,
VA7j9YNtUeN,sgor mor dgu,འདི ར་ ག་ཚོད་ རེད །,104,ག་ཚོད་,479,479,FALSE,n,FALSE,TRUE,PRED,FALSE,FALSE,FALSE,2,TRUE,FALSE,
HA0Ybu7i6ml,phyu ra,འདི ར་ རྒྱ་མ་ སྒོར་མོ་ དགུ་ རེད །,106,འདི ར་,483,484,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,TRUE,FALSE,
rYR7kg1wqxV,sgor mor dgu,འདི ར་ རྒྱ་མ་ སྒོར་མོ་ དགུ་ རེད །,106,སྒོར་མོ་ དགུ་,486,487,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,3,FALSE,FALSE,
kObYJBfl8Ky,nyo mkhan,ང་ འདི ར་ ཆོག་ཏོ་ ཉོས་ མ་ སོང་ ངས །,110,ང་,514,514,TRUE,i,TRUE,FALSE,A,TRUE,TRUE,FALSE,1,TRUE,FALSE,
8CukJhAbFts,ca lag mang po,ང་ འདི ར་ ཆོག་ཏོ་ ཉོས་ མ་ སོང་ ངས །,110,ཆོག་ཏོ་,517,517,FALSE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE,TRUE,
WnnqYwRfx64,phyu ra,འདི་ ནས་ རྒྱ་མ་ ག་ཚོད་ བཀྱག་ དགོས་ ཀྱི་ རེད །,115,འདི་ ནས་,532,533,TRUE,i,TRUE,FALSE,E,FALSE,FALSE,FALSE,2,TRUE,FALSE,
3wXFD6e8ODA,number of rgyama to buy (phyur ra),འདི་ ནས་ རྒྱ་མ་ ག་ཚོད་ བཀྱག་ དགོས་ ཀྱི་ རེད །,115,རྒྱ་མ་ ག་ཚོད་,534,535,FALSE,n,FALSE,TRUE,P,FALSE,FALSE,FALSE,4,FALSE,FALSE,
ImLxP5NxTc7,phyu ra,འདི་ རྒྱ་མ་ གང་ <0> ལགས །,117,འདི་,544,544,TRUE,i,TRUE,FALSE,E,FALSE,FALSE,FALSE,1,TRUE,FALSE,
EBLlVIWFeIS,number of rgyama to buy (phyur ra),འདི་ རྒྱ་མ་ གང་ <0> ལགས །,117,རྒྱ་མ་ གང་,545,546,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,3,FALSE,FALSE,
YDmuETh2nvr,phyu ra,འདི ར ། ཨ་ནི་ འདི་ རྒྱ་མ་ དོ་ ཏག་ཏག་ རེད །,123,འདི་,575,575,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,1,TRUE,FALSE,
n83RxGtrSfw,2 rgyama,འདི ར ། ཨ་ནི་ འདི་ རྒྱ་མ་ དོ་ ཏག་ཏག་ རེད །,123,རྒྱ་མ་ དོ་ ཏག་ཏག་,576,578,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,5,FALSE,FALSE,
U1D2Th2Tgb3,2 rgyama,རྒྱ་མ་ དོ་ ལ་ བརྒྱད་ གཉིས་ བཅུ་དྲུག་ བྱས །,128,རྒྱ་མ་ དོ་ ལ་,592,594,FALSE,n,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,4,FALSE,FALSE,
gbxR2gUNumQ,16,རྒྱ་མ་ དོ་ ལ་ བརྒྱད་ གཉིས་ བཅུ་དྲུག་ བྱས །,128,བརྒྱད་ གཉིས་ བཅུ་དྲུག་,595,597,FALSE,i,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,4,FALSE,FALSE,
OdNhPGgH3JD,gro ma,འདི ར་ སྒོར་མོ་ བརྒྱད <0> །,129,འདི ར་,600,601,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,TRUE,FALSE,
3fW4WMt3GyK,8 yuan,འདི ར་ སྒོར་མོ་ བརྒྱད <0> །,129,སྒོར་མོ་ བརྒྱད,602,603,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,2,FALSE,FALSE,
lodOihZWjll,rgya phyed,རྒྱ་ ཕྱེད་ ལ་,131,རྒྱ་ ཕྱེད་ ལ་,608,610,FALSE,n,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,3,FALSE,FALSE,
FNdCnMWbj9U2v,3.5 yuan,/ མོའོ་རྩེ་ ༥ རེད་པ །,134,/ སྒོར་མོ་ གསུམ་ བྱས་ / མོའོ་རྩེ་ ༥,611,617,FALSE,n,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,7,FALSE,FALSE,
8x5Uw8pkwSA,skyur phyur,༡༩ ནས་ འདི ར་ སྒོར་མོ་ _uh_,138,འདི ར་,631,632,TRUE,i,TRUE,FALSE,COPS,FALSE,FALSE,FALSE,2,TRUE,FALSE,
rH8sPF1mZI2YE,4 yuan,སྒོར་མོ་ ༤ རེད །,139,སྒོར་མོ་ _uh_ སྒོར་མོ་ ༤,633,636,FALSE,i,FALSE,FALSE,PRED,FALSE,FALSE,FALSE,5,FALSE,FALSE,
