id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom,haveBridges,remarks
yCsKg5UR0Ds,bskal bzang phun tshogs,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,29,ང ས་,219,220,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE,FALSE,
VMVdeVhKFXD,'go khrid rtrsar la,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,29,འགོ་ཁྲིད་ རྩར་ ལ་,221,223,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE,FALSE,
YCxrbZ6r2L8,dngul,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །,35,ང འི་ དངུལ་ འདི་ གས་,251,255,FALSE,i,TRUE,FALSE,P,FALSE,FALSE,FALSE,5,FALSE,FALSE,
UoNUWSPGmln,dngul yod sa,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །,35,ག་པ ར་,256,257,FALSE,n,FALSE,FALSE,E,FALSE,FALSE,FALSE,3,TRUE,FALSE,
cpzWTFuy18T,byung 'dzin,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,38,བྱུང་འཛིན་,266,266,FALSE,i,TRUE,FALSE,S,FALSE,FALSE,FALSE,2,FALSE,FALSE,
4t8apAMyNQR,nga'i lag par,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,38,ང འི་ ལག་པ ར་,267,270,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,5,FALSE,FALSE,coded nonlocal since he doesn't actually have it in his hands
YR6KQUKx9Rt,byung 'dzin,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,42,བྱུང་འཛིན་,288,288,FALSE,i,TRUE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE,FALSE,
R4ajzubHPkq,byung 'dzin yod sa,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,42,ག་པ ར་,289,290,FALSE,n,FALSE,FALSE,COPLOC,FALSE,FALSE,FALSE,3,TRUE,FALSE,
JdNLyPaJ72c,bkra shis nor bu,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,46,ང ས་,313,314,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE,FALSE,
AtUkeWoYz28,bkra shis nor bu'i nang,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,46,ནང་ ལ་,316,317,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,FALSE,FALSE,
ew2wkuGfnui,bskal bzang phun tshogs,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,48,ང ས་,330,331,TRUE,i,FALSE,FALSE,S,TRUE,TRUE,FALSE,2,TRUE,FALSE,
V5EARPFD8Rc,'go khrid rtrsar la,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,48,འགོ་ཁྲིད་ རྩར་ ལ་,333,335,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE,FALSE,
